Rank,Mountain,Height.m,Height.Ft,Prominence.m,Range.1,Range.2,Latitude,Longitude,Parent,First.Ascent,Ascents,Country.With
1,1,Mount Everest,8.848,29.029,8.848,Mahalangur,Himalaya,27.98806,86.92528,none,1953,>>145 (121),Nepal; China
2,2,K2; Godwin Austen,8.611,28.251,4.02,Baltoro,Karakoram,35.88139,76.51333,Mount Everest,1954,45 (44),Pakistan; China
3,3,Kangchenjunga,8.586,28.169,3.922,Kangchenjunga,Himalaya,27.70333,88.1475,Mount Everest,1955,38 (24),Nepal; India
4,4,Lhotse,8.516,27.94,610,Mahalangur,Himalaya,27.96167,86.93306,Mount Everest,1956,26 (26),Nepal; China
5,5,Makalu,8.485,27.838,2.378,Mahalangur,Himalaya,27.88972,87.08889,Mount Everest,1955,45 (52),Nepal; China
6,6,Cho Oyu,8.188,26.864,2.34,Mahalangur,Himalaya,28.09417,86.66083,Mount Everest,1954,79 (28),Nepal; China
7,7,Dhaulagiri I,8.167,26.795,3.357,Dhaulagiri,Himalaya,28.69667,83.49306,K2,1960,51 (39),Nepal
8,8,Manaslu,8.163,26.781,3.092,Manaslu,Himalaya,28.55,84.55972,Cho Oyu,1956,49 (45),Nepal
9,9,Nanga Parbat,8.126,26.66,4.608,Nanga Parbat,Himalaya,35.23722,74.58917,Dhaulagiri,1953,52 (67),Pakistan; [dp 1]
10,10,Annapurna I,8.091,26.545,2.984,Annapurna,Himalaya,28.59556,83.82028,Cho Oyu,1950,36 (47),Nepal
11,11,Gasherbrum I,8.08,26.509,2.155,Baltoro,Karakoram,35.72444,76.69639,K2,1958,31 (16),Pakistan; [dp 1]; China; [dp 2]
12,12,Broad Peak,8.051,26.414,1.701,Baltoro,Karakoram,35.81056,76.56833,Gasherbrum I,1957,39 (19),Pakistan; [dp 1]; China; [dp 2]
13,13,Gasherbrum II,8.035,26.362,1.524,Baltoro,Karakoram,35.75778,76.65333,Gasherbrum I,1956,54 (12),Pakistan; [dp 1]; China; [dp 2]
14,14,Shishapangma,8.027,26.335,2.897,Jugal,Himalaya,28.35333,85.77861,Cho Oyu,1964,43 (19),China
15,15,Gyachung Kang,7.952,26.089,672,Mahalangur,Himalaya,28.09806,86.745,Cho Oyu,1964,5 (3),Nepal; China
16,110,Gasherbrum III,7.946,26.07,355,Baltoro,Karakoram,35.75917,76.64167,Gasherbrum II,1975,2 (2),Pakistan; [dp 1]; China; [dp 2]
17,16,Annapurna II,7.937,26.04,2.437,Annapurna,Himalaya,28.53472,84.12194,Annapurna I,1960,6 (19),Nepal
18,17,Gasherbrum IV,7.932,26.024,712,Baltoro,Karakoram,35.76056,76.61611,Gasherbrum III,1958,4 (11),Pakistan; [dp 1]
19,18,Himalchuli,7.893,25.896,1.633,Manaslu,Himalaya,28.43667,84.63972,Manaslu,1960,6 (12),Nepal
20,19,Distaghil Sar,7.884,25.866,2.525,Hispar,Karakoram,36.32583,75.18778,K2,1960,3 (5),Pakistan; [dp 1]
21,20,Ngadi Chuli,7.871,25.823,1.011,Manaslu,Himalaya,28.50333,84.56667,Manaslu,1970,2 (6),Nepal
22,111,Nuptse,7.864,25.801,305,Mahalangur,Himalaya,27.9675,86.88694,Lhotse,1961,5 (12),Nepal
23,21,Khunyang Chhish,7.823,25.666,1.765,Hispar,Karakoram,36.20528,75.20778,Distaghil Sar,1971,2 (6),Pakistan; [dp 1]
24,22,Masherbrum,7.821,25.659,2.457,Masherbrum,Karakoram,35.64111,76.30583,Gasherbrum I,1960,4 (9),Pakistan; [dp 1]
25,23,Nanda Devi,7.816,25.643,3.139,Garhwal,Himalaya,30.37583,79.97083,Dhaulagiri,1936,14 (12),India
26,24,Chomo Lonzo,7.804,25.604,590,Mahalangur,Himalaya,27.93056,87.10778,Makalu,1954,3 (1),China
27,25,Batura Sar,7.795,25.574,3.118,Batura,Karakoram,36.51028,74.5225,Distaghil Sar,1976,4 (6),Pakistan; [dp 1]
