"url","Rank","Mountain 1","Mountain 1_link","Mountain 2","Mountain 3","Mountain 3_link","Heigh Tm 1","Height Ft","Prom Inen Cem","Range 1","Range 1_link","Range 2","Range 3","Range 3_link","Coordinates 1","Coordinates 1_alt","Coordinates 2","Coordinates 2_link","Coordinates 3","Coordinates 3_link","Coordinates 4","Coordinates 4_link","Coordinates 5","Coordinates 5_link","Coordinates 6","Coordinates 6_link","Coordinates 7","Coordinates 7_link","Parent 1","Parent 2","Parent 2_link","First Ascent 1","First Ascent 2","First Ascent 2_link","Ascents 1","Country With 1","Country With 2","Country With 2_link"
"https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth","1","Mount Everest","https://en.wikipedia.org/wiki/Mount_Everest","/; Sagarmatha /; Chomolungma","[8]","","8,848[8]; 8,848","29,029","8,848","Mahalangur","https://en.wikipedia.org/wiki/Mahalangur_Himal","","Himalaya","https://en.wikipedia.org/wiki/Himalaya","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/WMA_button2b.png/17px-WMA_button2b.png","Show location on an interactive map","27°59′17″N 86°55′31″E / 27.98806°N 86.92528°E / 27.98806; 86.92528 (1. Mount Everest / Sagarmatha / Chomolungma (8848 m))","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_59_17_N_86_55_31_E_&title=1.+Mount+Everest+%2F+Sagarmatha+%2F+Chomolungma+%288848+m%29","27°59′17″N","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_59_17_N_86_55_31_E_&title=1.+Mount+Everest+%2F+Sagarmatha+%2F+Chomolungma+%288848+m%29","86°55′31″E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_59_17_N_86_55_31_E_&title=1.+Mount+Everest+%2F+Sagarmatha+%2F+Chomolungma+%288848+m%29","27.98806°N 86.92528°E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_59_17_N_86_55_31_E_&title=1.+Mount+Everest+%2F+Sagarmatha+%2F+Chomolungma+%288848+m%29","27.98806; 86.92528","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_59_17_N_86_55_31_E_&title=1.+Mount+Everest+%2F+Sagarmatha+%2F+Chomolungma+%288848+m%29","1. Mount Everest / Sagarmatha / Chomolungma (8848 m)","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_59_17_N_86_55_31_E_&title=1.+Mount+Everest+%2F+Sagarmatha+%2F+Chomolungma+%288848+m%29","none","","","1953","1953","https://en.wikipedia.org/wiki/1953_British_Mount_Everest_expedition",">>145 (121)","Nepal • China","Nepal; China","https://en.wikipedia.org/wiki/Nepal; https://en.wikipedia.org/wiki/China"
"https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth","2","K2; Godwin Austen","https://en.wikipedia.org/wiki/K2; https://en.wikipedia.org/wiki/Godwin_Austen_Peak","/ Chhogori /","[9]; [dp 1]; [dp 2]","; ; ","8,611; 8,611","28,251","4,020","Baltoro","https://en.wikipedia.org/wiki/Baltoro_Muztagh","","Karakoram","https://en.wikipedia.org/wiki/Karakoram","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/WMA_button2b.png/17px-WMA_button2b.png","Show location on an interactive map","35°52′53″N 76°30′48″E / 35.88139°N 76.51333°E / 35.88139; 76.51333 (2. K2 / Qogir / Godwin Austen (8611 m))","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_52_53_N_76_30_48_E_&title=2.+K2+%2F+Qogir+%2F+Godwin+Austen+%288611+m%29","35°52′53″N","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_52_53_N_76_30_48_E_&title=2.+K2+%2F+Qogir+%2F+Godwin+Austen+%288611+m%29","76°30′48″E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_52_53_N_76_30_48_E_&title=2.+K2+%2F+Qogir+%2F+Godwin+Austen+%288611+m%29","35.88139°N 76.51333°E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_52_53_N_76_30_48_E_&title=2.+K2+%2F+Qogir+%2F+Godwin+Austen+%288611+m%29","35.88139; 76.51333","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_52_53_N_76_30_48_E_&title=2.+K2+%2F+Qogir+%2F+Godwin+Austen+%288611+m%29","2. K2 / Qogir / Godwin Austen (8611 m)","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_52_53_N_76_30_48_E_&title=2.+K2+%2F+Qogir+%2F+Godwin+Austen+%288611+m%29","Mount Everest[9]","Mount Everest","https://en.wikipedia.org/wiki/Mount_Everest","1954","1954","https://en.wikipedia.org/wiki/1954_Italian_Karakoram_expedition_to_K2","45 (44)","Pakistan[dp 1] • China[dp 2]","Pakistan; [dp 1]; China; [dp 2]","https://en.wikipedia.org/wiki/Pakistan; ; https://en.wikipedia.org/wiki/China; "
"https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth","3","Kangchenjunga","https://en.wikipedia.org/wiki/Kangchenjunga","","","","8,586; 8,586","28,169","3,922","Kangchenjunga","https://en.wikipedia.org/wiki/Kangchenjunga","","Himalaya","https://en.wikipedia.org/wiki/Himalaya","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/WMA_button2b.png/17px-WMA_button2b.png","Show location on an interactive map","27°42′12″N 88°08′51″E / 27.70333°N 88.14750°E / 27.70333; 88.14750 (3. Kangchenjunga (8586 m))","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_42_12_N_88_08_51_E_&title=3.+Kangchenjunga+%288586+m%29","27°42′12″N","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_42_12_N_88_08_51_E_&title=3.+Kangchenjunga+%288586+m%29","88°08′51″E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_42_12_N_88_08_51_E_&title=3.+Kangchenjunga+%288586+m%29","27.70333°N 88.14750°E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_42_12_N_88_08_51_E_&title=3.+Kangchenjunga+%288586+m%29","27.70333; 88.14750","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_42_12_N_88_08_51_E_&title=3.+Kangchenjunga+%288586+m%29","3. Kangchenjunga (8586 m)","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_42_12_N_88_08_51_E_&title=3.+Kangchenjunga+%288586+m%29","Mount Everest","Mount Everest","https://en.wikipedia.org/wiki/Mount_Everest","1955","","","38 (24)","Nepal • India","Nepal; India","https://en.wikipedia.org/wiki/Nepal; https://en.wikipedia.org/wiki/India"
"https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth","4","Lhotse","https://en.wikipedia.org/wiki/Lhotse","","","","8,516; 8,516","27,940","610","Mahalangur","https://en.wikipedia.org/wiki/Mahalangur_Himal","","Himalaya","https://en.wikipedia.org/wiki/Himalaya","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/WMA_button2b.png/17px-WMA_button2b.png","Show location on an interactive map","27°57′42″N 86°55′59″E / 27.96167°N 86.93306°E / 27.96167; 86.93306 (4. Lhotse (8516 m))","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_57_42_N_86_55_59_E_&title=4.+Lhotse+%288516+m%29","27°57′42″N","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_57_42_N_86_55_59_E_&title=4.+Lhotse+%288516+m%29","86°55′59″E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_57_42_N_86_55_59_E_&title=4.+Lhotse+%288516+m%29","27.96167°N 86.93306°E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_57_42_N_86_55_59_E_&title=4.+Lhotse+%288516+m%29","27.96167; 86.93306","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_57_42_N_86_55_59_E_&title=4.+Lhotse+%288516+m%29","4. Lhotse (8516 m)","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_57_42_N_86_55_59_E_&title=4.+Lhotse+%288516+m%29","Mount Everest","Mount Everest","https://en.wikipedia.org/wiki/Mount_Everest","1956","","","26 (26)","Nepal • China","Nepal; China","https://en.wikipedia.org/wiki/Nepal; https://en.wikipedia.org/wiki/China"
"https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth","5","Makalu","https://en.wikipedia.org/wiki/Makalu","","","","8,485; 8,485","27,838","2,378","Mahalangur","https://en.wikipedia.org/wiki/Mahalangur_Himal","","Himalaya","https://en.wikipedia.org/wiki/Himalaya","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/WMA_button2b.png/17px-WMA_button2b.png","Show location on an interactive map","27°53′23″N 87°05′20″E / 27.88972°N 87.08889°E / 27.88972; 87.08889 (5. Makalu (8485 m))","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_53_23_N_87_05_20_E_&title=5.+Makalu+%288485+m%29","27°53′23″N","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_53_23_N_87_05_20_E_&title=5.+Makalu+%288485+m%29","87°05′20″E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_53_23_N_87_05_20_E_&title=5.+Makalu+%288485+m%29","27.88972°N 87.08889°E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_53_23_N_87_05_20_E_&title=5.+Makalu+%288485+m%29","27.88972; 87.08889","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_53_23_N_87_05_20_E_&title=5.+Makalu+%288485+m%29","5. Makalu (8485 m)","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=27_53_23_N_87_05_20_E_&title=5.+Makalu+%288485+m%29","Mount Everest","Mount Everest","https://en.wikipedia.org/wiki/Mount_Everest","1955","","","45 (52)","Nepal • China","Nepal; China","https://en.wikipedia.org/wiki/Nepal; https://en.wikipedia.org/wiki/China"
"https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth","6","Cho Oyu","https://en.wikipedia.org/wiki/Cho_Oyu","","[10]","","8,188; 8,188","26,864","2,340","Mahalangur","https://en.wikipedia.org/wiki/Mahalangur_Himal","","Himalaya","https://en.wikipedia.org/wiki/Himalaya","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/WMA_button2b.png/17px-WMA_button2b.png","Show location on an interactive map","28°05′39″N 86°39′39″E / 28.09417°N 86.66083°E / 28.09417; 86.66083 (6. Cho Oyu (8188 m))","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_05_39_N_86_39_39_E_&title=6.+Cho+Oyu+%288188+m%29","28°05′39″N","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_05_39_N_86_39_39_E_&title=6.+Cho+Oyu+%288188+m%29","86°39′39″E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_05_39_N_86_39_39_E_&title=6.+Cho+Oyu+%288188+m%29","28.09417°N 86.66083°E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_05_39_N_86_39_39_E_&title=6.+Cho+Oyu+%288188+m%29","28.09417; 86.66083","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_05_39_N_86_39_39_E_&title=6.+Cho+Oyu+%288188+m%29","6. Cho Oyu (8188 m)","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_05_39_N_86_39_39_E_&title=6.+Cho+Oyu+%288188+m%29","Mount Everest","Mount Everest","https://en.wikipedia.org/wiki/Mount_Everest","1954","","","79 (28)","Nepal • China","Nepal; China","https://en.wikipedia.org/wiki/Nepal; https://en.wikipedia.org/wiki/China"
"https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth","7","Dhaulagiri I","https://en.wikipedia.org/wiki/Dhaulagiri","","","","8,167; 8,167","26,795","3,357","Dhaulagiri","https://en.wikipedia.org/wiki/Dhaulagiri","","Himalaya","https://en.wikipedia.org/wiki/Himalaya","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/WMA_button2b.png/17px-WMA_button2b.png","Show location on an interactive map","28°41′48″N 83°29′35″E / 28.69667°N 83.49306°E / 28.69667; 83.49306 (7. Dhaulagiri I (8167 m))","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_41_48_N_83_29_35_E_&title=7.+Dhaulagiri+I+%288167+m%29","28°41′48″N","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_41_48_N_83_29_35_E_&title=7.+Dhaulagiri+I+%288167+m%29","83°29′35″E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_41_48_N_83_29_35_E_&title=7.+Dhaulagiri+I+%288167+m%29","28.69667°N 83.49306°E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_41_48_N_83_29_35_E_&title=7.+Dhaulagiri+I+%288167+m%29","28.69667; 83.49306","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_41_48_N_83_29_35_E_&title=7.+Dhaulagiri+I+%288167+m%29","7. Dhaulagiri I (8167 m)","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_41_48_N_83_29_35_E_&title=7.+Dhaulagiri+I+%288167+m%29","K2","K2","https://en.wikipedia.org/wiki/K2","1960","","","51 (39)","Nepal","Nepal","https://en.wikipedia.org/wiki/Nepal"
"https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth","8","Manaslu","https://en.wikipedia.org/wiki/Manaslu","","","","8,163; 8,163","26,781","3,092","Manaslu","https://en.wikipedia.org/wiki/Manaslu","","Himalaya","https://en.wikipedia.org/wiki/Himalaya","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/WMA_button2b.png/17px-WMA_button2b.png","Show location on an interactive map","28°33′00″N 84°33′35″E / 28.55000°N 84.55972°E / 28.55000; 84.55972 (8. Manaslu (8163 m))","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_33_00_N_84_33_35_E_&title=8.+Manaslu+%288163+m%29","28°33′00″N","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_33_00_N_84_33_35_E_&title=8.+Manaslu+%288163+m%29","84°33′35″E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_33_00_N_84_33_35_E_&title=8.+Manaslu+%288163+m%29","28.55000°N 84.55972°E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_33_00_N_84_33_35_E_&title=8.+Manaslu+%288163+m%29","28.55000; 84.55972","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_33_00_N_84_33_35_E_&title=8.+Manaslu+%288163+m%29","8. Manaslu (8163 m)","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_33_00_N_84_33_35_E_&title=8.+Manaslu+%288163+m%29","Cho Oyu","Cho Oyu","https://en.wikipedia.org/wiki/Cho_Oyu","1956","","","49 (45)","Nepal","Nepal","https://en.wikipedia.org/wiki/Nepal"
"https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth","9","Nanga Parbat","https://en.wikipedia.org/wiki/Nanga_Parbat","","[dp 1]","","8,126; 8,126","26,660","4,608","Nanga Parbat","https://en.wikipedia.org/wiki/Nanga_Parbat","","Himalaya","https://en.wikipedia.org/wiki/Himalaya","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/WMA_button2b.png/17px-WMA_button2b.png","Show location on an interactive map","35°14′14″N 74°35′21″E / 35.23722°N 74.58917°E / 35.23722; 74.58917 (9. Nanga Parbat (8126 m))","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_14_14_N_74_35_21_E_&title=9.+Nanga+Parbat+%288126+m%29","35°14′14″N","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_14_14_N_74_35_21_E_&title=9.+Nanga+Parbat+%288126+m%29","74°35′21″E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_14_14_N_74_35_21_E_&title=9.+Nanga+Parbat+%288126+m%29","35.23722°N 74.58917°E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_14_14_N_74_35_21_E_&title=9.+Nanga+Parbat+%288126+m%29","35.23722; 74.58917","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_14_14_N_74_35_21_E_&title=9.+Nanga+Parbat+%288126+m%29","9. Nanga Parbat (8126 m)","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=35_14_14_N_74_35_21_E_&title=9.+Nanga+Parbat+%288126+m%29","Dhaulagiri","Dhaulagiri","https://en.wikipedia.org/wiki/Dhaulagiri","1953","","","52 (67)","Pakistan[dp 1]","Pakistan; [dp 1]","https://en.wikipedia.org/wiki/Pakistan; "
"https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth","10","Annapurna I","https://en.wikipedia.org/wiki/Annapurna","","","","8,091; 8,091","26,545","2,984","Annapurna","https://en.wikipedia.org/wiki/Annapurna","","Himalaya","https://en.wikipedia.org/wiki/Himalaya","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/WMA_button2b.png/17px-WMA_button2b.png","Show location on an interactive map","28°35′44″N 83°49′13″E / 28.59556°N 83.82028°E / 28.59556; 83.82028 (10. Annapurna I (8091 m))","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_35_44_N_83_49_13_E_&title=10.+Annapurna+I+%288091+m%29","28°35′44″N","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_35_44_N_83_49_13_E_&title=10.+Annapurna+I+%288091+m%29","83°49′13″E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_35_44_N_83_49_13_E_&title=10.+Annapurna+I+%288091+m%29","28.59556°N 83.82028°E","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_35_44_N_83_49_13_E_&title=10.+Annapurna+I+%288091+m%29","28.59556; 83.82028","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_35_44_N_83_49_13_E_&title=10.+Annapurna+I+%288091+m%29","10. Annapurna I (8091 m)","https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_highest_mountains_on_Earth&params=28_35_44_N_83_49_13_E_&title=10.+Annapurna+I+%288091+m%29","Cho Oyu","Cho Oyu","https://en.wikipedia.org/wiki/Cho_Oyu","1950","1950","https://en.wikipedia.org/wiki/1950_French_Annapurna_expedition","36 (47)","Nepal","Nepal","https://en.wikipedia.org/wiki/Nepal"
